,ST,County_Name,Orientation,state,Year
0,IL,Adams,Defense,Illinois,2015
1,IL,Alexander,Defense,Illinois,2015
2,IL,Bond,Defense,Illinois,2015
3,IL,Boone,Defense,Illinois,2015
4,IL,Brown,Defense,Illinois,2015
5,IL,Bureau,Defense,Illinois,2015
6,IL,Calhoun,Defense,Illinois,2015
7,IL,Carroll,Defense,Illinois,2015
8,IL,Cass,Defense,Illinois,2015
9,IL,Champaign,Neutral,Illinois,2015
10,IL,Christian,Defense,Illinois,2015
11,IL,Clark,Defense,Illinois,2015
12,IL,Clay,Defense,Illinois,2015
13,IL,Clinton,Defense,Illinois,2015
14,IL,Coles,Defense,Illinois,2015
15,IL,Cook,Plaintiff,Illinois,2015
16,IL,Crawford,Defense,Illinois,2015
17,IL,Cumberland,Defense,Illinois,2015
18,IL,DeKalb,Defense,Illinois,2015
19,IL,De Witt,Defense,Illinois,2015
20,IL,Douglas,Defense,Illinois,2015
21,IL,DuPage,Defense,Illinois,2015
22,IL,Edgar,Defense,Illinois,2015
23,IL,Edwards,Defense,Illinois,2015
24,IL,Effingham,Defense,Illinois,2015
25,IL,Fayette,Defense,Illinois,2015
26,IL,Ford,Defense,Illinois,2015
27,IL,Franklin,Defense,Illinois,2015
28,IL,Fulton,Defense,Illinois,2015
29,IL,Gallatin,Defense,Illinois,2015
30,IL,Greene,Defense,Illinois,2015
31,IL,Grundy,Defense,Illinois,2015
32,IL,Hamilton,Defense,Illinois,2015
33,IL,Hancock,Defense,Illinois,2015
34,IL,Hardin,Defense,Illinois,2015
35,IL,Henderson,Defense,Illinois,2015
36,IL,Henry,Defense,Illinois,2015
37,IL,Iroquois,Defense,Illinois,2015
38,IL,Jackson,Defense,Illinois,2015
39,IL,Jasper,Defense,Illinois,2015
40,IL,Jefferson,Defense,Illinois,2015
41,IL,Jersey,Defense,Illinois,2015
42,IL,Jo Daviess,Defense,Illinois,2015
43,IL,Johnson,Defense,Illinois,2015
44,IL,Kane,Neutral,Illinois,2015
45,IL,Kankakee,Defense,Illinois,2015
46,IL,Kendall,Defense,Illinois,2015
47,IL,Knox,Defense,Illinois,2015
48,IL,La Salle,Defense,Illinois,2015
49,IL,Lake,Neutral,Illinois,2015
50,IL,Lawrence,Defense,Illinois,2015
51,IL,Lee,Defense,Illinois,2015
52,IL,Livingston,Defense,Illinois,2015
53,IL,Logan,Defense,Illinois,2015
54,IL,McDonough,Defense,Illinois,2015
55,IL,McHenry,Defense,Illinois,2015
56,IL,McLean,Defense,Illinois,2015
57,IL,Macon,Defense,Illinois,2015
58,IL,Macoupin,Defense,Illinois,2015
59,IL,Madison,Plaintiff,Illinois,2015
60,IL,Marion,Defense,Illinois,2015
61,IL,Marshall,Defense,Illinois,2015
62,IL,Mason,Defense,Illinois,2015
63,IL,Massac,Defense,Illinois,2015
64,IL,Menard,Defense,Illinois,2015
65,IL,Mercer,Defense,Illinois,2015
66,IL,Monroe,Plaintiff,Illinois,2015
67,IL,Montgomery,Defense,Illinois,2015
68,IL,Morgan,Defense,Illinois,2015
69,IL,Moultrie,Defense,Illinois,2015
70,IL,Ogle,Defense,Illinois,2015
71,IL,Peoria,Neutral,Illinois,2015
72,IL,Perry,Defense,Illinois,2015
73,IL,Piatt,Defense,Illinois,2015
74,IL,Pike,Defense,Illinois,2015
75,IL,Pope,Defense,Illinois,2015
76,IL,Pulaski,Defense,Illinois,2015
77,IL,Putnam,Defense,Illinois,2015
78,IL,Randolph,Defense,Illinois,2015
79,IL,Richland,Defense,Illinois,2015
80,IL,Rock Island,Defense,Illinois,2015
81,IL,Saline,Defense,Illinois,2015
82,IL,Sangamon,Neutral,Illinois,2015
83,IL,Schuyler,Defense,Illinois,2015
84,IL,Scott,Defense,Illinois,2015
85,IL,Shelby,Defense,Illinois,2015
86,IL,St. Clair,Plaintiff,Illinois,2015
87,IL,Stark,Defense,Illinois,2015
88,IL,Stephenson,Defense,Illinois,2015
89,IL,Tazewell,Defense,Illinois,2015
90,IL,Union,Defense,Illinois,2015
91,IL,Vermilion,Defense,Illinois,2015
92,IL,Wabash,Defense,Illinois,2015
93,IL,Warren,Defense,Illinois,2015
94,IL,Washington,Defense,Illinois,2015
95,IL,Wayne,Defense,Illinois,2015
96,IL,White,Defense,Illinois,2015
97,IL,Whiteside,Defense,Illinois,2015
98,IL,Will,Neutral,Illinois,2015
99,IL,Williamson,Defense,Illinois,2015
100,IL,Winnebago,Defense,Illinois,2015
101,IL,Woodford,Defense,Illinois,2015
