,ST,County_Name,state,FIPS_Code
0,IL,Adams ,Illinois,17001
1,IL,Alexander ,Illinois,17003
2,IL,Bond ,Illinois,17005
3,IL,Boone ,Illinois,17007
4,IL,Brown ,Illinois,17009
5,IL,Bureau ,Illinois,17011
6,IL,Calhoun ,Illinois,17013
7,IL,Carroll ,Illinois,17015
8,IL,Cass ,Illinois,17017
9,IL,Champaign ,Illinois,17019
10,IL,Christian ,Illinois,17021
11,IL,Clark ,Illinois,17023
12,IL,Clay ,Illinois,17025
13,IL,Clinton ,Illinois,17027
14,IL,Coles ,Illinois,17029
15,IL,Cook ,Illinois,17031
16,IL,Crawford ,Illinois,17033
17,IL,Cumberland ,Illinois,17035
18,IL,DeKalb ,Illinois,17037
19,IL,De Witt ,Illinois,17039
20,IL,Douglas ,Illinois,17041
21,IL,DuPage ,Illinois,17043
22,IL,Edgar ,Illinois,17045
23,IL,Edwards ,Illinois,17047
24,IL,Effingham ,Illinois,17049
25,IL,Fayette ,Illinois,17051
26,IL,Ford ,Illinois,17053
27,IL,Franklin ,Illinois,17055
28,IL,Fulton ,Illinois,17057
29,IL,Gallatin ,Illinois,17059
30,IL,Greene ,Illinois,17061
31,IL,Grundy ,Illinois,17063
32,IL,Hamilton ,Illinois,17065
33,IL,Hancock ,Illinois,17067
34,IL,Hardin ,Illinois,17069
35,IL,Henderson ,Illinois,17071
36,IL,Henry ,Illinois,17073
37,IL,Iroquois ,Illinois,17075
38,IL,Jackson ,Illinois,17077
39,IL,Jasper ,Illinois,17079
40,IL,Jefferson ,Illinois,17081
41,IL,Jersey ,Illinois,17083
42,IL,Jo Daviess ,Illinois,17085
43,IL,Johnson ,Illinois,17087
44,IL,Kane ,Illinois,17089
45,IL,Kankakee ,Illinois,17091
46,IL,Kendall ,Illinois,17093
47,IL,Knox ,Illinois,17095
48,IL,Lake ,Illinois,17097
49,IL,LaSalle ,Illinois,17099
50,IL,Lawrence ,Illinois,17101
51,IL,Lee ,Illinois,17103
52,IL,Livingston ,Illinois,17105
53,IL,Logan ,Illinois,17107
54,IL,McDonough ,Illinois,17109
55,IL,McHenry ,Illinois,17111
56,IL,McLean ,Illinois,17113
57,IL,Macon ,Illinois,17115
58,IL,Macoupin ,Illinois,17117
59,IL,Madison ,Illinois,17119
60,IL,Marion ,Illinois,17121
61,IL,Marshall ,Illinois,17123
62,IL,Mason ,Illinois,17125
63,IL,Massac ,Illinois,17127
64,IL,Menard ,Illinois,17129
65,IL,Mercer ,Illinois,17131
66,IL,Monroe ,Illinois,17133
67,IL,Montgomery ,Illinois,17135
68,IL,Morgan ,Illinois,17137
69,IL,Moultrie ,Illinois,17139
70,IL,Ogle ,Illinois,17141
71,IL,Peoria ,Illinois,17143
72,IL,Perry ,Illinois,17145
73,IL,Piatt ,Illinois,17147
74,IL,Pike ,Illinois,17149
75,IL,Pope ,Illinois,17151
76,IL,Pulaski ,Illinois,17153
77,IL,Putnam ,Illinois,17155
78,IL,Randolph ,Illinois,17157
79,IL,Richland ,Illinois,17159
80,IL,Rock Island ,Illinois,17161
81,IL,St. Clair ,Illinois,17163
82,IL,Saline ,Illinois,17165
83,IL,Sangamon ,Illinois,17167
84,IL,Schuyler ,Illinois,17169
85,IL,Scott ,Illinois,17171
86,IL,Shelby ,Illinois,17173
87,IL,Stark ,Illinois,17175
88,IL,Stephenson ,Illinois,17177
89,IL,Tazewell ,Illinois,17179
90,IL,Union ,Illinois,17181
91,IL,Vermilion ,Illinois,17183
92,IL,Wabash ,Illinois,17185
93,IL,Warren ,Illinois,17187
94,IL,Washington ,Illinois,17189
95,IL,Wayne ,Illinois,17191
96,IL,White ,Illinois,17193
97,IL,Whiteside ,Illinois,17195
98,IL,Will ,Illinois,17197
99,IL,Williamson ,Illinois,17199
100,IL,Winnebago ,Illinois,17201
101,IL,Woodford ,Illinois,17203
